customer_id;customer_unique_id;customer_zip_code_prefix;customer_city;customer_state;geolocation_zip_code_prefix;geolocation_lat;geolocation_lng;geolocation_city;geolocation_state;order_id;order_status;order_purchase_timestamp;order_approved_at;order_delivered_carrier_date;order_delivered_customer_date;order_estimated_delivery_date;order_item_id;product_id;seller_id;shipping_limit_date;price;freight_value;payment_sequential;payment_type;payment_installments;payment_value;product_category_name;product_name_lenght;product_description_lenght;product_photos_qty;product_weight_g;product_length_cm;product_height_cm;product_width_cm;seller_zip_code_prefix;seller_city;seller_state;product_category_name_english;label
281fb8b9868caf9889214e5a8d56e271;4e5a10bd8f468ee5acc890961a2b7ce4;36570;vicosa;MG;36570;-20.75140486;-42.82472492;vicosa;MG;1ea7acde8dacf11a098d0b85b13cdc0e;delivered;2017-10-27 16:21:02;2017-10-27 17:31:13;2017-11-01 00:07:57;2017-11-06 20:17:37;2017-11-22 00:00:00;1;588531f8ec37e7d5ff5b7b22ea0488f8;53243585a1d6dc2643021fd1853d8905;2017-11-03 16:35:40;1437;42.51;1;credit_card;8;1479.51;pcs;55;3611;4;2750;16;31;39;42738;lauro de freitas;BA;computers;0
74739c82729e0172c2449caa51f42122;46b7b0549a0fd88de78b58bafe90c3e5;72225;brasilia;DF;72225;-15.81735733;-48.11312086;brasilia;DF;10bc94fc052750e8053c44b8a0cdab8d;delivered;2017-12-11 13:32:50;2017-12-11 13:50:16;2017-12-11 23:10:08;2017-12-26 19:52:23;2018-01-11 00:00:00;1;6cdd53843498f92890544667809f1595;ccc4bbb5f32a6ab2b7066a4130f114e3;2017-12-20 13:50:16;349.9;22.85;1;credit_card;7;372.75;beleza_saude;51;625;1;900;25;12;38;80310;curitiba;PR;health_beauty;0
70fd1803205b1552d3a4ead3f6997b50;b11122912484da7417c071b26d9e74c8;13160;artur nogueira;SP;13160;-22.57727046;-47.17063135;artur nogueira;SP;8b2747171304ba1b058713f5d64fc179;delivered;2018-02-16 20:24:06;2018-02-16 20:46:34;2018-02-20 15:37:54;2018-03-08 16:12:09;2018-03-15 00:00:00;1;70906e04da1eebf3d1b8791bd09ffe85;f457c46070d02cadd8a68551231220dd;2018-02-22 19:46:34;69.9;12.62;1;credit_card;3;82.52;informatica_acessorios;51;518;1;214;18;14;13;87047;maringa;PR;computers_accessories;0
0309b2a47dddf69e60c888db00cb5858;5dd27319cab49c620f28cd6e4e378570;15600;fernandopolis;SP;15600;-20.27767244;-50.23324574;fernandopolis;SP;53639d3483b91d202af2934021b5e2fa;delivered;2018-01-07 10:16:22;2018-01-08 10:11:22;2018-01-09 20:45:04;2018-01-13 01:03:35;2018-02-05 00:00:00;1;7814c273ab16783d73a9863ebfa8b141;1025f0e2d44d7041d6cf58b6550e0bfa;2018-01-17 10:11:22;250;35.02;1;credit_card;6;285.02;moveis_decoracao;51;756;1;12250;45;35;45;3204;sao paulo;SP;furniture_decor;0
22a330de6f63a8d1631ce94b17a4fafe;d2dbd5be475f37efe006c1de35e5db92;29360;castelo;ES;29360;-20.60768229;-41.20217299;castelo;ES;d3a2d71aecfd58b0ddd6b9d7b56ed55d;delivered;2017-07-24 22:09:04;2017-07-24 22:23:14;2017-07-26 11:07:51;2017-08-09 17:17:38;2017-08-28 00:00:00;1;3516632e8f52b679ff83d1665ecc990e;e9bc59e7b60fc3063eb2290deda4cced;2017-07-30 22:23:14;75.9;25.81;1;credit_card;3;101.71;informatica_acessorios;45;267;1;167;16;12;13;87083;maringa;PR;computers_accessories;1
f241eda6e0ef48fb716e435126893b88;f0a0b65515c41c696eac8064eac4c2d5;21931;rio de janeiro;RJ;21931;-22.81716165;-43.18926449;rio de janeiro;RJ;5ee987cdf0ab5a1b320bbfae52b39661;delivered;2017-03-08 19:29:16;2017-03-08 19:29:16;2017-03-13 12:38:14;2017-03-16 07:14:07;2017-03-29 00:00:00;1;fdeb34a9f03fea7c3937dd62d1d0287e;d66c305afaec317ebee552073a674429;2017-03-14 19:29:16;53.9;18.66;1;boleto;1;72.56;cool_stuff;58;1252;1;1100;30;20;23;33936;ribeirao das neves;MG;cool_stuff;1
d29d92e86e87e8732c9558570df752ca;2ca27ef6f20adeabb3c9c3e43e7ad17b;4855;sao paulo;SP;4855;-23.76673849;-46.68536144;sao paulo;SP;96acc057158c055d3508b8379df12cea;delivered;2018-07-10 09:46:48;2018-07-10 09:55:16;2018-07-10 15:06:00;2018-07-13 00:06:52;2018-07-18 00:00:00;3;c756c946d61f5ffc068418badfb6302c;6560211a19b47992c3666cc44a7e94c0;2018-07-12 09:55:16;55;7.64;1;debit_card;1;184.92;relogios_presentes;55;175;8;250;16;2;11;5849;sao paulo;SP;watches_gifts;1
66bfee5a94e8fe83382dc2778767e543;5d0275e81e7dc34ac5582bb491e7e3d9;87043;maringa;PR;87043;-23.39780956;-51.88788649;maringa;PR;6fd940e7a2a1f206de9cc3e4abfef433;delivered;2018-02-28 08:35:28;2018-02-28 08:48:32;2018-03-01 19:33:50;2018-03-14 14:18:35;2018-04-02 00:00:00;1;f0ea9d66568ac8ab30808833a473920f;d9cb0052a666de5308b32f32ad5f1b1c;2018-03-06 08:48:32;67;17;1;credit_card;2;84;beleza_saude;41;869;1;200;17;14;12;15400;olimpia;SP;health_beauty;1
364c498abca5a4cff3fe15573743034c;d5bcdee139c8e3a1d1fc14b865ccd847;8790;mogi das cruzes;SP;8790;-23.52698365;-46.1794417;mogi das cruzes;SP;951e8cd4880218797b4ac75738913b7b;delivered;2017-10-03 14:32:26;2017-10-03 14:49:23;2017-10-04 20:24:57;2017-10-13 18:05:19;2017-10-25 00:00:00;1;5b226d7c52f86ac72457617f78cff95d;1835b56ce799e6a4dc4eddc053f04066;2017-10-09 14:49:23;56.99;12.74;1;credit_card;1;69.73;cama_mesa_banho;50;381;1;875;25;18;40;14940;ibitinga;SP;bed_bath_table;1
9a09e1150a3e2333eb93d3c1612bf15f;9fa090c27af98e6e37f23c0cf4feeb14;28893;rio das ostras;RJ;28893;-22.50825873;-41.94706845;rio das ostras;RJ;c2aa77318ccfe5fea754a5d1c2ff1544;delivered;2018-04-01 19:44:52;2018-04-01 20:30:16;2018-04-02 18:58:40;2018-04-06 20:38:25;2018-04-26 00:00:00;3;46e4940f28c9231a801873e62ca55c53;cc419e0650a3c5ba77189a1882b7556a;2018-04-06 20:30:16;39.99;1.1;1;credit_card;2;224.97;perfumaria;50;54;1;50;30;10;20;9015;santo andre;SP;perfumery;0
