customer_id;customer_unique_id;customer_zip_code_prefix;customer_city;customer_state;geolocation_zip_code_prefix;geolocation_lat;geolocation_lng;geolocation_city;geolocation_state;order_id;order_status;order_purchase_timestamp;order_approved_at;order_delivered_carrier_date;order_delivered_customer_date;order_estimated_delivery_date;order_item_id;product_id;seller_id;shipping_limit_date;price;freight_value;payment_sequential;payment_type;payment_installments;payment_value;product_category_name;product_name_lenght;product_description_lenght;product_photos_qty;product_weight_g;product_length_cm;product_height_cm;product_width_cm;seller_zip_code_prefix;seller_city;seller_state;product_category_name_english
e2a1ab008932ae1211651ffb0cffe7ea;b35bbea722303bf6e700f2b67ed6a88e;19906;ourinhos;SP;19906;-22.99093958;-49.88752393;ourinhos;SP;6094159cbb1c76bdf3249a954c2da017;delivered;2018-05-17 14:40:34;2018-05-18 00:14:56;2018-05-18 11:20:00;2018-05-30 20:44:25;2018-06-05 00:00:00;1;79863f997e214f8f98c423694c745f3d;a416b6a846a11724393025641d4edd5e;2018-05-24 00:14:56;166;15.25;1;credit_card;6;181.25;beleza_saude;20;1688;1;1450;30;12;16;3702;sao paulo;SP;health_beauty
a292a83e844f94fd579a662199ee9319;77ed6756100f9e16700cc6bf7207abd6;11250;bertioga;SP;11250;-23.76395226;-45.90312362;bertioga;SP;3438253f6ad093b9a0051a04700d125f;delivered;2017-07-25 20:13:09;2017-07-25 20:25:16;2017-07-26 21:57:40;2017-07-31 18:29:56;2017-08-16 00:00:00;1;d357105bd504c78d8470ffd247747eab;b88e7c57cb2d8b973b7dd4a2bfa14b36;2017-07-31 20:25:16;15;15.1;1;credit_card;1;30.1;beleza_saude;17;341;1;255;17;13;15;81350;curitiba;PR;health_beauty
82f10cdf48026392161bedb195f79931;0a6f34aa51fd18d116edfb8798793eb3;30130;belo horizonte;MG;30130;-19.93152073;-43.93372342;belo horizonte;MG;afa4f45747006532ff507b1a527f6642;delivered;2017-03-17 08:20:43;2017-03-17 08:20:43;2017-03-22 09:37:35;2017-03-29 14:59:52;2017-04-17 00:00:00;1;57de1d67d6badffc863b651c74e59dd0;b2ba3715d723d245138f291a6fe42594;2017-03-30 08:20:43;189.9;16.09;1;credit_card;3;205.99;papelaria;52;280;2;1800;18;45;32;3470;sao paulo;SP;stationery
db27297d513bc9f50d255ee7b7ee8cd6;8e6d0b8e818e7b2cbbe279e9ac21393c;13604;araras;SP;13604;-22.33093614;-47.37998006;araras;SP;6ef0679f937afb1cb20c8cab157f6f9a;delivered;2017-12-27 17:05:32;2017-12-27 17:12:22;2017-12-28 19:06:03;2018-01-03 17:12:32;2018-01-29 00:00:00;2;5d66715cc928aadd0074f61332698593;128639473a139ac0f3e5f5ade55873a5;2018-01-03 17:12:22;19.9;12.48;1;credit_card;1;64.76;eletronicos;52;390;1;150;20;13;18;87050;maringa;PR;electronics
f4f06b67ddcc8a9efa90a1719558dbe1;3dfa96a5c650beb1772d1db80b14b222;22631;rio de janeiro;RJ;22631;-23.00448871;-43.36864621;rio de janeiro;RJ;a34cb116fd337ef68f4d8057031b39a5;delivered;2018-07-05 13:27:33;2018-07-06 02:51:02;2018-07-06 11:49:00;2018-07-12 20:32:33;2018-08-07 00:00:00;1;0505f239830b15ffbd923b4113a96855;4830e40640734fc1c52cd21127c341d4;2018-07-10 02:51:02;19.9;15.24;1;boleto;1;35.14;malas_acessorios;44;503;8;250;20;26;15;3573;sao paulo;SP;luggage_accessories
48d6a6909a9bd0b2128ea79630e52d13;3f01021289a4c54f1c984262f4ba625b;3984;sao paulo;SP;3984;-23.60628612;-46.51491226;são paulo;SP;aef2bc3845eb581cecce74b769d46c6a;delivered;2017-09-22 17:41:49;2017-09-22 22:50:12;2017-10-02 19:57:42;2017-10-13 14:33:15;2017-10-16 00:00:00;1;cbdb9bf611328898bd4b32a384506b3a;7c67e1448b00f6e969d365cea6b010ab;2017-10-03 22:50:12;99.98;21.35;1;credit_card;10;727.98;moveis_escritorio;26;945;1;12700;55;70;18;8577;itaquaquecetuba;SP;office_furniture
e7ee5ca88181306105b251db552c4357;fd50833d789fe1fe0fa773a5b2916ddc;79560;chapadao do sul;MS;79560;-18.79003971;-52.6200263;chapadao do sul;MS;8e3b10ce93deae6a8e8739b7a41b86d5;delivered;2018-03-12 13:44:17;2018-03-14 02:50:54;2018-03-14 20:44:48;2018-04-16 19:56:34;2018-04-04 00:00:00;1;35afc973633aaeb6b877ff57b2793310;4a3ca9315b744ce9f8e9374361493884;2018-03-20 02:50:54;86.9;23.19;1;boleto;1;110.09;casa_conforto;56;176;1;1825;53;10;40;14940;ibitinga;SP;home_confort
d12161a358a2d89b50d9bedd2f911207;cd48bf88423affa44f96b254ce5e6dd2;22450;rio de janeiro;RJ;22450;-22.98391354;-43.23315272;rio de janeiro;RJ;8dd7a0e54d3e1de854946bed6b8bb4ce;delivered;2018-02-06 00:26:43;2018-02-06 00:35:28;2018-02-07 22:51:23;2018-02-21 11:29:07;2018-03-13 00:00:00;1;e53e557d5a159f5aa2c5e995dfdf244b;00fc707aaaad2d31347cf883cd2dfe10;2018-02-16 00:35:28;88.9;17.06;1;credit_card;1;211.92;informatica_acessorios;33;256;1;180;17;10;13;87025;maringa;PR;computers_accessories
f0edfaa912ad71ab12fcb5495bdba415;137979cbe1d895efb140ca1aad7e9915;5777;sao paulo;SP;5777;-23.64877348;-46.75331257;sao paulo;SP;047d7bce997c4e73c6efe724711fd3b8;delivered;2017-10-15 21:28:17;2017-10-17 03:56:21;2017-10-23 13:40:03;2017-11-01 20:47:49;2017-10-26 00:00:00;1;0e323ee8f8dc60a0b875e9ac4daf1337;e62b2d6ac10570a035a30bafcf01d263;2017-10-23 03:56:21;49.9;8.72;1;boleto;1;58.62;telefonia;55;359;2;317;21;14;16;5767;sao paulo;SP;telephony
85e1f0efd5bd913c062b8f25b12ceec7;1a1b27faecdec3036ba51a911e03cbdd;4514;sao paulo;SP;4514;-23.60215601;-46.67365908;sao paulo;SP;4424e229c586b51536fe200e207c8f84;delivered;2018-03-14 00:19:49;2018-03-15 03:29:32;2018-03-15 19:36:30;2018-03-16 20:02:52;2018-03-26 00:00:00;1;50fd2b788dc166edd20512370dac54df;8b321bb669392f5163d04c59e235e066;2018-03-21 03:29:32;21.9;7.39;1;boleto;1;29.29;eletronicos;46;2285;1;150;30;10;20;1212;sao paulo;SP;electronics
ed3410f81a985621cf17806ecbba8a9f;9a68261db8f5013c08de1b5f293acedd;22250;rio de janeiro;RJ;22250;-22.94133647;-43.17254952;rio de janeiro;RJ;7085eaa515a6aed1d7f7e9f86080db97;delivered;2018-02-18 15:37:14;2018-02-18 16:35:31;2018-02-19 21:19:01;2018-03-19 22:38:33;2018-03-12 00:00:00;1;61d01171a3784bab50137290350e5332;4992e76a42cb3aad7a7047e0d3d7e729;2018-02-22 16:35:31;29.9;15.11;1;credit_card;1;45.01;utilidades_domesticas;24;49;4;500;25;15;15;3334;sao paulo;SP;housewares
7cab83679b4b4b94a7783cddb27224f2;a8d1e9936a5361e2547acf93dd4b8bc3;28970;araruama;RJ;28970;-22.87123492;-42.26739288;araruama;RJ;b760d6b613bc2bca107e3c852501e649;delivered;2018-01-31 20:45:16;2018-01-31 21:09:44;2018-02-16 19:28:59;2018-02-25 15:33:14;2018-03-05 00:00:00;1;98c0c93d863d3da23549a04d45033e06;49e7217cfe4e427191c378ec626d8737;2018-02-06 21:09:44;880;66.9;1;credit_card;4;946.9;utilidades_domesticas;37;813;1;17950;56;28;56;35570;formiga;MG;housewares
